name,percent_change,price,symbol,volume
2GO Group,0.0,9.25,2GO,22500
Atok A,-0.2,10.18,AB,31700
ABACORE CAPITAL,-1.05,0.47,ABA,2610000
Asiabest Gorup,-0.12,8.06,ABG,34800
ABS-CBN,-0.14,14.68,ABS,365500
ABS-CBN PDR,0.0,13.6,ABSP,500400
Ayala Corp,8.81,747.5,AC,1362450
AC ENERGY,1.87,2.18,ACEPH,1223000
AC ENEXOR,0.0,6.49,ACEX,685700
AC PREF B1,-0.1,500.0,ACPB1,1500
Alsons Cons,0.0,0.84,ACR,1000
Aboitiz,3.87,42.9,AEV,3756700
Alliance Global,0.84,6.0,AGI,4284400
Arthaland,0.0,0.5,ALCO,247000
Anchor Land,-1.11,8.9,ALHI,100
Ayala Land,4.07,32.0,ALI,60551300
AYALA LAND LOG,0.64,1.58,ALLHC,1241000
AgriNurture,-1.25,7.09,ANI,433800
Anscor,0.0,6.0,ANS,16500
Aboitiz Power,5.7,27.8,AP,3151400
AC PREF B2R,0.8,502.0,APB2R,1050
APC Group,-3.39,0.285,APC,310000
APOLLO GLOBAL,2.5,0.041,APL,8100000
Apex Mining A,-1.11,0.89,APX,717000
Abra Mining,10.0,0.0011,AR,1156000000
Araneta Prop,-0.99,1.0,ARA,123000
Asian Terminals,0.0,16.0,ATI,15300
ATN Holdings A,1.75,0.58,ATN,2134000
ATN Holdings B,3.45,0.6,ATNB,619000
ASIA UNITED,0.96,47.45,AUB,19000
AXELUM,-1.55,2.54,AXLM,662000
Benguet A,10.71,1.24,BC,95000
Banco de Oro,11.12,100.4,BDO,17339760
Belle Corp.,3.05,1.35,BEL,591000
Boulevard Hldg.,0.0,0.025,BHI,8100000
Bright Kindle,0.0,0.67,BKR,26000
Bloomberry,6.9,6.2,BLOOM,20446500
Bogo Medellin,0.0,73.0,BMM,170
BPI,3.67,66.3,BPI,9905920
A. Brown,0.0,0.54,BRN,988000
BASIC ENERGY,2.47,0.166,BSC,20000
CHELSEA,0.97,3.11,C,344000
5J,8.58,36.05,CEB,2228500
Centro Escolar,1.63,5.6,CEU,800
Chinabank,-0.21,18.9,CHIB,257100
Cemex Hldg,0.0,1.06,CHP,2711000
CONCEPCION,7.46,24.5,CIC,1400
CEB LANDMASTERS,0.82,3.69,CLI,953000
CENTURY FOOD,-1.71,14.98,CNPF,296000
Coal Asia,5.26,0.18,COAL,90000
COL Financial,-2.5,15.6,COL,5200
COSCO CAPITAL,-4.17,4.83,COSCO,5687100
CPG,8.7,0.375,CPG,14160000
CPG PREF A,0.75,100.5,CPGP,10000
CENTURY PEAK,0.0,2.71,CPM,100000
Cyber Bay,0.0,0.26,CYBR,60000
DOUBLEDRAGON,-1.96,16.02,DD,666800
DD PREF,-0.99,100.0,DDPR,30
DEL MONTE,2.27,4.5,DELM,26000
Diversified,0.0,2.85,DFNN,31000
ISM Comm.,2.27,2.25,DITO,21882000
DMCI Holdings,1.03,3.94,DMC,52828000
DM WENCESLAO,-0.31,6.38,DMW,339100
DNL INDUS,3.88,4.55,DNL,8382000
EAGLE CEMENT,0.49,8.24,EAGLE,96200
Easycall,0.9,6.74,ECP,30100
EEI Corp.,0.9,4.46,EEI,1295000
Empire East,0.0,0.275,ELI,6500000
EMPERADOR,0.38,7.83,EMP,1259900
Euromed,1.38,2.2,EURO,567000
Ever-Gotesco,-6.25,0.12,EVER,11480000
EW,-5.44,6.08,EW,7031500
Purefoods,1.51,63.9,FB,277820
FERRONOUX HLDG,0.0,2.32,FERRO,2000
First Gen,1.24,20.4,FGEN,3618500
First Gen G,-3.74,103.0,FGENG,7500
Filinvest Land,-3.23,0.9,FLI,22167000
FIRST METRO ETF,2.94,87.5,FMETF,12550
FERRONICKEL,-1.35,0.73,FNI,712000
Tuna,1.79,0.57,FOOD,152000
First Phil Hldg,-0.28,54.0,FPH,23730
FRUITAS HLDG,0.0,1.25,FRUIT,3000000
GEOGRACE,0.5,0.201,GEO,170000
Global-Estate,-2.5,0.78,GERI,236000
Globe Telecom,4.27,2294.0,GLO,596745
GLO PREF P,-0.59,509.0,GLOPP,3000
GMA Network,0.0,4.79,GMA7,295000
GMA Holdings,-0.41,4.85,GMAP,4000
GREEN,3.85,1.62,GREEN,8957000
Ginebra,1.01,30.15,GSMI,63000
GT Capital,4.59,387.0,GTCAP,667170
GTCAP PREF B,1.22,997.0,GTPPB,6090
House of Inv,1.25,3.25,HI,53000
Holcim,-0.26,7.68,HLCM,318200
ALLHOME,-2.19,5.36,HOME,14965500
8990 HLDG,-2.0,9.82,HOUSE,6200
GOLDEN BRIA,-0.14,290.0,HVN,1010
IRemit,3.26,0.95,I,105000
Intl Container,4.4,87.7,ICT,4369510
Italpinas,5.23,1.81,IDC,1329000
Integ. Micro,3.04,5.43,IMI,87900
Ionics,-2.61,1.12,ION,271000
